Slug,Company,Owner,Draft URL,Original Site,Phone,Email,Address,Verify notes
easternroofing,Eastern Roofing and Roofline,Ben,https://lemonelly.com/draft/easternroofing,https://www.easternroofing.co.uk/,01508 826698 (text: 07766 563513),info@easternroofing.co.uk,"Glenelg House, 7 The Ridings, Poringland NR14 7PS (also 63 Trinity Street, Norwich NR2 2BH)",
fivestarroofingleicester,Five Star Roofing Ltd,Veronica,https://lemonelly.com/draft/fivestarroofingleicester,https://www.five-star-roofing.co.uk/,0116 287 2843,fivestarroofing@sky.com,"83 Leicester Rd, Glenfield, Leicestershire, LE3 8HF",
glasgowroofing,Glasgow Roofing Contractors,Veronica,https://lemonelly.com/draft/glasgowroofing,https://www.glasgowroofing.co.uk,0141 482 7035,info@glasgowroofing.co.uk,"""Expert residential (domestic) roofers, who also work on commercial properties"" — also covers listed buildings and conservation areas",
grantallanroofing,Grant Allan Roofing and Roughcasting,Veronica,https://lemonelly.com/draft/grantallanroofing,http://www.roofingandroughcasting.com/,0132 485 1139 (landline) / 07841 640 097 (mobile),mail@roofingandroughcasting.com,"Snowhill Cottage, Falkirk, FK1 3AR","plain text in footer — NOTE the site's own mailto link is broken, href=""mailto:#"""
haffendenroofing,Haffenden Roofing,Veronica,https://lemonelly.com/draft/haffendenroofing,https://www.haffendenroofing.co.uk/,01424 892257 (office) / 01424 431035,info@haffendenroofing.co.uk,"Ninfield, East Sussex",
halifaxroofingbuilding,Halifax Roofing & Building Services,Veronica,https://lemonelly.com/draft/halifaxroofingbuilding,http://www.roofingandbuildinghalifax.co.uk/,01422 250931 — mobile 07830 051919,hxroofing@yahoo.co.uk,"6 Annes Court, Southowram, Halifax, HX3 9RS",
jdflatroofing,JD Flat Roofing,Ben,https://lemonelly.com/draft/jdflatroofing,https://jdflatroofing.com/,07889 508040,jdflatroof@gmail.com,"165 Moira Road, Lisburn, BT28 1RW",
kensmithroofing,Ken Smith Roofing Ltd,Ben,https://lemonelly.com/draft/kensmithroofing,https://kensmithroofing.co.uk,0191 622 6750,Kensmithroofing@hotmail.co.uk,"Unit 6-7 Arrow Close, Newcastle upon Tyne, NE12 6QN",
lordroofing,Lord Roofing and Grounds Works Ltd,Ben,https://lemonelly.com/draft/lordroofing,https://lordroofing.co.uk,"0191 406 1724 — the Newcastle line, used on the draft",enquiries@lordroofing.co.uk,"Unit 1B, Dean And Chapter Industrial Estate, Ferryhill, County Durham, DL17 8LH",
mahartley,MA Hartley Roofing Contractors,Veronica,https://lemonelly.com/draft/mahartley,https://www.mahartleyroofing.com/,01792 897519,info@hartleyroofing.co.uk,"Phoenix Way, Garngoch Industrial Estate, Swansea, SA4 9WF",email domain differs from website domain — hartleyroofing.co.uk vs mahartleyroofing.com; verify before send
manchesterashtonroofing,Manchester & Ashton Roofing Company,Veronica,https://lemonelly.com/draft/manchesterashtonroofing,https://www.manchesterandashton-roofing.co.uk,0161 370 6571,manchesterroofing@freeolamail.com,"1353 Ashton Old Road, Openshaw, Manchester M11 1JT",
marksbrothersroofing,Marks Brothers Roofing,Veronica,https://lemonelly.com/draft/marksbrothersroofing,https://marksbrothersroofing.co.uk,,marksbrothersroofing@hotmail.co.uk,"4 Redside Terrace, Cowley, Exeter, EX5 5ES",
mattboydroofing,Matt Boyd Roofing,Veronica,https://lemonelly.com/draft/mattboydroofing,https://mattboydroofing.co.uk,0113 217 5983,info@mattboydroofing.co.uk,"51 Eaton Hill, Cookridge, Leeds LS16 6SE",
mcdonnellpriceroofing,McDonnell-Price Roofing Contractors Ltd,Ben,https://lemonelly.com/draft/mcdonnellpriceroofing,http://www.mcdonnell-price.co.uk/,01453 825445,enquiries@mcdonnell-price.co.uk,"Unit 1, Gabwell Business Centre, Quadrant Way, Hardwicke, Gloucester, GL2 2JH",
mecontractors,M E Contractors,Veronica,https://lemonelly.com/draft/mecontractors,https://mecontractorsltd.com/,07827 013850 (direct/MD) / 01745 822649 (Abergele) / 01492 818578 (Llandudno),mecontractorsltd@gmail.com,based in Abergele & Llandudno,
mjfaint,M J Faint Ltd,Ben,https://lemonelly.com/draft/mjfaint,https://bath-roofing.co.uk/,01225 754091 / Mobile 07890 147517,mark@bath-roofing.co.uk,"Axe & Cleaver Lane, North Bradley, Trowbridge, Wiltshire, BA14 0SZ",
mjsroofing,M.J.S Roofing,Veronica,https://lemonelly.com/draft/mjsroofing,https://mjsroofing.co.uk/,01656 648578 / 07984 645209,enquiries@mjsroofing.co.uk,"Unit 3, Grove Court, North Road, Bridgend Industrial Estate, CF31 3TP",domain-matching; an AOL address is also published — draft uses the domain one
msandwithroofing,M Sandwith Roofing,Veronica,https://lemonelly.com/draft/msandwithroofing,http://roofers-cumbria.co.uk/,01900 606830 (office) / 07880 741957 (mobile),info@msandwithroofing.co.uk,"Low Seaton, Cumbria, CA14 1PX (directories: 57 Low Seaton, Seaton, Workington)",note email domain differs from website domain
newenglandroofing,New England Roofing,Veronica,https://lemonelly.com/draft/newenglandroofing,https://www.newenglandroofing.co.uk/,01746 861055,info@newenglandroofing.co.uk,"12 Witley Gardens, Highley, Bridgnorth, WV16 6NH",
ngowenroofing,N.G. Owen Roofing Ltd,Veronica,https://lemonelly.com/draft/ngowenroofing,https://www.ngowenroofing.co.uk/,01553 634700 (mobile 07786 226834),enquiries@ngowenroofing.co.uk,"King's Lynn, Norfolk",
nickhaywardroofing,Nick Hayward Roofing,Veronica,https://lemonelly.com/draft/nickhaywardroofing,http://www.nickhaywardroofing.co.uk/,01284 830 824 (mobile 07899 800 424),nickhaywardroofing@btconnect.com,"not published beyond ""Bury St Edmunds area""",
northeastrooflines,Northeast Rooflines,Ben,https://lemonelly.com/draft/northeastrooflines,https://www.northeastrooflines.com/,01429 557 329 — mobile 07511 927 883,northeast.rooflines@mail.com,"21 Lumley Square, Hartlepool, TS24 0PL",thinnest fact base of the overnight batch — draft copy kept strictly generic-honest (no invented services or specifics)
northernroofingservices,Northern Roofing Services,Veronica,https://lemonelly.com/draft/northernroofingservices,https://www.northernroofingservices.co.uk/,01228 584040 / 01387 808586,info@northernroofingservices.co.uk,"Western Ridge, Hayton, Carlisle, CA8 9HL ; registered: Suite 1, Telford House, Warwick Road, Carlisle, CA1 2BT","JS-cloaked via Joomla spam protection, decoded from HTML entities — verify before outreach"
punchpropertyrepair,Punch Property Repair,Ben,https://lemonelly.com/draft/punchpropertyrepair,https://www.punchpropertyrepair.co.uk/,0161 705 2181 (office) — mobile 07805 215874,info@punchpropertyrepair.co.uk,"17 Barwood Lea, Ramsbottom, Bury, BL0 9AX",
roofersharrogate,Ebor Roofing Contractors,Veronica,https://lemonelly.com/draft/roofersharrogate,https://www.eborroofingcontractors.co.uk,"01904 900204 (landline), 07985 402235 (mobile)",info@eborroofingcontractors.co.uk,,
roofingsevenoaks,Tunbridge Wells Roofing (Roofing Sevenoaks),Ben,https://lemonelly.com/draft/roofingsevenoaks,https://roofingsevenoaks.co.uk/,0800 056 3991,sales@tunbridgewellsroofing.co.uk,"Longfield Place, Longfield Road, Tunbridge Wells, Kent TN2 3EY",
sageroofing,Sage Roofing South West,Veronica,https://lemonelly.com/draft/sageroofing,https://www.sageroofing.com/,0117 377 8741 / Mobile 07970 122495,justin@sageroofing.com,"not published beyond ""Bristol, South West England""",
sherwoodroofing,Sherwood Roofing Ltd,Ben,https://lemonelly.com/draft/sherwoodroofing,https://sherwoodroofingltd.co.uk,"0115 795 6762 (office), 07474 007178 (mobile)",info@sherwoodroofingltd.co.uk,"37 Westminster Buildings Theatre Square, Nottingham NG1 6LG",
simonmeadwellroofing,Simon Meadwell Roofing,Ben,https://lemonelly.com/draft/simonmeadwellroofing,https://www.simonmeadwellroofing.co.uk/,0161 494 6464 — mobile 07873 431093,simon.meadwell@yahoo.co.uk,"14 Bonnyfields, Romiley, Stockport, Cheshire, SK6 3AR",
swarburtonroofing,S Warburton Roofing Services,Veronica,https://lemonelly.com/draft/swarburtonroofing,https://www.swarburtonroofingservices.co.uk/,01978 534037 (Wrexham) / 01244 960149 (freephone) / 07710 988956,info@swarburtonroofingservices.co.uk,"Mondray, Francis Road, Moss, Wrexham LL11 6EH",Cloudflare-obfuscated — verify
weaverindustrialroofing,Weaver Industrial Roofing,Ben,https://lemonelly.com/draft/weaverindustrialroofing,https://www.dudley-roofing.co.uk/,01902 677 594 — mobile 07973 483880,info@dudley-roofing.co.uk,"registered — 2 Masefield Avenue, Dudley DY1 4PB",
westernroofing,Western Roofing,Veronica,https://lemonelly.com/draft/westernroofing,http://www.westernroofinghereford.co.uk/,01432 344240 / 07970 549728 (mobile),rickowesternroof@aol.com,"31 Wyedean Rise, Belmont, Hereford, HR2 7XZ",
wolverhamptonroofing,Wolverhampton Roofing,Veronica,https://lemonelly.com/draft/wolverhamptonroofing,http://www.wolverhampton-roofing.co.uk/,,michael@wolverhampton-roofing.co.uk,"59 Tyninghame Avenue, Tettenhall, Wolverhampton, WV6 9PP",
wrexhamroofingservices,Wrexham Roofing Services,Ben,https://lemonelly.com/draft/wrexhamroofingservices,https://www.wrexhamroofingservices.co.uk/,07742 4645767 / 07507 990111,info@wrexhamroofingservices.co.uk,"Preston Road, Wrexham, LL13 9JT","verify with prospect · appears to be a genuine small operator with sister brands, not a lead-gen network (real address + 8 named testimonials)"
